Celdas;N_puntos_por_celda;canopy_height;co;radiation;elevation;ET;EVI;FPAR;gHM_;gpp;HCHO;NDWI;no2;Npp;o3;pp;PSRI;rel_humidity;SO2;soc;soil_ph;temp;temp_max;TOPODIV;VCF;vel_30m_m00_ll;vel_5m_m00_ll
0;1;25.10967827;0.017852643;3.581009626;471.464447;9.199999809;0.125285715;0.819999993;0.219062082;0.0305;5.46E-05;0.263343975;5.74E-05;0.409000009;0.132047184;2646.924316;-0.419082761;58.51362038;5.39E-05;106.5326462;492.742157;9.566666794;14.17083359;0.970599174;80;3.90580976;2.569555402
1;1;18.00031596;0.017924066;3.72358501;662.9748154;10.7437501;0.366098925;0.780000001;0.252307668;0.0301625;6.06E-05;0.303976115;5.75E-05;0.898049995;0.132041298;2567.266968;-0.438452825;57.65316391;5.47E-05;113.2886715;497.4188766;7.502083302;12.23541679;0.896645606;80.75;4.329038143;2.737461865
2;1;6.99999997;0.017796043;3.435887754;730.5529938;12.81041646;0.264571879;0.67750001;0.219842203;0.02105;6.17E-05;0.252798568;5.72E-05;0.932250008;0.132069051;2534.923096;-0.37821538;57.21463776;6.30E-05;124.4154282;501.1304169;7.752083397;12.48541679;0.976242885;80;4.365885794;2.726073802
3;1;7.238140568;0.017751181;3.357038975;567.7341537;13.09166646;0.295018129;0.725000009;0.218372345;0.0241;6.16E-05;0.283383697;5.70E-05;0.933375001;0.132302195;2528.688782;-0.315884449;56.91056252;7.60E-05;126.9465084;508.9354095;8.758333206;13.45625;0.973393485;79.25;3.858728349;2.444147408
4;1;20.57130527;0.018439548;3.972247481;151.3173752;18.41666603;0.457538322;0.894999981;0.307694808;0.035525002;5.87E-05;0.391571634;5.77E-05;1.522249997;0.132391676;2446.134644;-0.248896301;60.36069202;6.69E-05;98.06337929;538.91362;10.7416666;15.10208321;0.366833195;75;3.232711256;1.998742998
5;1;22.95257282;0.018230177;4.047692299;127.7003517;18.03749943;0.468717501;0.879999995;0.390606165;0.038875001;5.43E-05;0.333702937;5.77E-05;1.54185003;0.13229727;2416.986938;-0.224390544;60.06761742;5.68E-05;88.58936691;524.6749268;10.84583359;15.23333359;0.36584729;61.5;2.86911273;1.753673613
6;2;8.671072245;0.019049712;4.367704391;117.6006641;16.82291651;0.520036951;0.730000004;0.296782248;0.030900001;4.23E-05;0.22642738;5.87E-05;1.397500008;0.132044718;1507.428345;-0.124738352;64.22472382;7.19E-05;61.22988892;546.1691437;10.6145834;14.6375;0.06740742;26;4.263189197;2.544998586
7;1;15.92593932;0.019017262;4.373983622;119.6771221;15.80624986;0.486288995;0.765000001;0.293482795;0.036425001;4.23E-05;0.304038525;5.87E-05;1.583124995;0.132043049;1508.183136;-0.132380292;64.05563164;7.73E-05;61.88583851;560.0857544;10.61875;14.66666679;0.069999474;27;4.296527028;2.548100173
8;2;5.073645525;0.018984198;4.320543528;109.1805782;16.61250043;0.486844376;0.804999992;0.32437402;0.039675;4.53E-05;0.284302391;5.86E-05;1.403175026;0.131753087;1457.86261;-0.155370288;63.74470901;5.30E-05;68.71011162;566.250412;10.7145834;14.78333321;0.088764561;40.25;4.239607692;2.404314756
9;1;23.75558281;0.018455192;4.06621027;471.17659;13.91874981;0.342062503;0.74000001;0.193208151;0.034125001;4.22E-05;0.297480509;5.49E-05;1.024949968;0.132010043;1617.361389;-0.210701555;69.52705765;0.000100004;127.4576187;502.6221619;8.183333206;11.92083321;0.828074396;79.5;5.670094728;3.331565261
10;1;12.66396171;0.018390049;4.266840339;604.099884;15.13750029;0.407047667;0.882499993;0.195807803;0.035225001;4.04E-05;0.401775315;5.52E-05;1.285675019;0.132076774;1910.486542;-0.227043498;68.14035988;0.000117692;97.47000122;482.8226013;7.660416794;11.33125;0.797374159;78.25;6.391854525;3.864761055
11;1;25.00537968;0.018252438;4.197128773;764.0132751;16.51249933;0.441417113;0.88499999;0.186116379;0.033437499;4.49E-05;0.41186589;5.43E-05;1.619225025;0.131965183;1901.513672;-0.252459269;66.78738976;0.000110388;112.4886208;483.7284698;6.925;10.72916679;0.524168305;77.75;6.920941472;4.09953481
12;3;26.76082516;0.01714788;NA;1024.074875;12.8729167;0.420100003;0.747500002;0.094984671;0.0272875;6.70E-05;0.36920578;5.58E-05;1.190274999;0.131091431;2270.575562;-0.176322818;49.06139946;5.52E-05;96.11836243;500.0834274;6.958333111;12.3333334;0.746562749;74.5;5.214339852;3.202917039
13;3;24.93471813;0.017107283;NA;1092.017365;11.44791675;0.381038338;0.584999993;0.094327182;0.017475;6.78E-05;0.39488668;5.55E-05;1.049899995;0.131108806;2230.34021;-0.199724562;47.68296051;5.18E-05;96.86565208;516.3110809;6.9125;12.3020834;0.732343748;67.75;5.276047587;3.30605346
14;3;26.12789536;0.017111478;NA;1073.114929;10.70000029;0.337358341;0.579999998;0.091878921;0.025475;7.10E-05;0.325659782;5.64E-05;1.096300036;0.131079838;2263.356567;-0.264188625;49.58990097;6.56E-05;89.99851227;505.0834351;6.791666412;12.16666641;0.760250032;70.5;5.502957344;3.381621361
15;2;3.675883055;0.017036958;NA;1187.621582;10.27499962;0.134106662;0.214999996;0.092564587;0.007025;7.81E-05;0.371905997;5.59E-05;0.538950026;0.131097168;2225.597412;-0.352367148;48.87213135;6.14E-05;98.40549088;519.7982178;5.908333397;11.32083321;0.7907857;32.5;5.83384943;3.528077722
16;1;33.49293709;0.018109526;4.17690587;612.6453247;13.4625001;0.414199993;0.849999994;0.103356395;0.035575001;4.75E-05;0.340946764;5.73E-05;0.875400007;0.130872592;2407.740601;-0.281700283;50.80349541;5.83E-05;99.97940445;497.7026062;9.125;14.41666641;0.693745971;80;3.887427449;2.43345964
17;1;24.57064962;0.018190423;4.182785153;270.9443817;14.63333297;0.49594;0.87999998;0.217986938;0.037599999;5.48E-05;0.41317866;5.86E-05;1.486400008;0.130636327;2309.188599;-0.260947123;50.78339958;5.84E-05;86.38137627;517.9379883;11.37499981;16.67708321;0.609475031;74.75;3.689186633;2.351691604
