Punto;Lat;Lon;4000m;3000m;2000m;1000m
1;-40.672199;-72.283832;13;12;17;18
2;-40.781259;-72.220393;10;10;12;13
3;-40.781597;-72.220213;10;10;12;13
4;-40.781958;-72.21912;10;10;12;13
5;-40.783649;-72.209356;11;10;13;14
6;-40.783193;-72.208368;11;10;13;14
7;-40.783663;-72.208408;11;10;13;14
8;-40.737612;-72.308928;12;11;16;17
9;-40.773851;-72.209399;11;10;15;16
10;-40.772605;-72.218977;10;10;14;15
11;-40.772801;-72.219644;10;10;14;15
12;-40.77307;-72.220332;10;10;14;15
13;-41.507746;-72.621291;0;0;1;1
14;-41.51686;-72.606086;1;1;0;0
15;-41.507531;-72.595791;1;1;2;2
16;-41.507949;-72.588251;1;1;3;3
17;-41.47925;-72.670575;2;2;4;4
18;-41.463875;-72.64755;3;3;5;5
19;-40.963358;-73.743206;8;8;11;11
20;-40.956852;-73.828514;7;7;10;12
21;-40.968882;-73.673376;9;4;6;10
22;-41.04181;-73.146043;4;9;9;7
23;-40.992932;-73.156866;6;6;8;9
24;-40.99349;-73.155443;6;6;8;9
25;-41.041645;-73.14368;5;5;7;8
26;-41.044802;-73.159727;4;4;6;6
27;-40.774806;-72.207587;11;10;15;16
