Landscape;Habitat.plot;Tree;State;Ph;Ct;Densidad;DAP;Tree.SP;height;Altitude;CWD;LichenCover;Longitud ;Latitud 
1;1;1;H;4.83;11.77;1205.4;147;Olivillo;35;219;0.31;0.09;729581;5494097
1;1;2;SC;5.79;17.105;509.3;143;Olivillo;35;215;0.31;0.09;729587;5494080
1;1;3;SN;4.43;13.7;628.8;72;;35;216;0.31;0.08;729564;5494106
1;1;4;LG;4.61;17.25;2515;50;;35;216;0.31;0.05;729564;5494106
2;2;5;H;5.18;57.405;1039.4;31;Lenga ;7;980;0.26;0.19;734563;5481798
2;2;6;SC;5.31;55.5;905.4;31;Lenga ;7;879;0.26;0.21;734554;5481797
2;2;7;SN;4.68;56.3;628.8;32;;7;979;0.26;0.05;734552;5481781
2;2;8;LG;4.83;62.25;628.8;50;;7;979;0.26;0.09;734552;5481781
2;3;9;H;5.24;60.75;905.4;31;Lenga ;11;975;0.29;0.19;734557;5481762
2;3;10;SC;5.29;63.895;795.8;32;Lenga ;11;974;0.29;0.39;734561;5481755
2;3;11;SN;4.47;62.11;564.3;33;;11;976;0.29;0.07;734570;5481758
2;3;12;LG;4.62;77.16;2037.2;50;;11;976;0.29;0.12;734570;5481758
2;4;13;H;5.09;62.86;1414.7;33;Lenga ;6;984;0.24;0.1;734655;5481721
2;4;14;SC;5.21;62.165;628.8;32;Lenga ;6;982;0.24;0.11;734648;5481723
2;4;15;SN;4.57;56.525;795.8;41;;6;984;0.24;0;734668;5481727
2;4;16;LG;3.91;66.71;704.9;50;;6;984;0.24;0;734668;5481727
3;5;17;H;7.32;35.985;2515;41;Lenga ;10;987;0.28;0.47;735470;5481510
3;5;18;SC;5.63;45.485;509.3;35;Lenga ;12;982;0.28;0.63;735463;5481520
3;5;19;SN;5.63;46.715;1683.6;27;;12;984;0.28;0.29;735480;5481511
3;5;20;LG;4.07;53.19;12732.4;50;;12;984;0.28;0.13;735480;5481511
3;6;21;H;5.31;40.555;704.9;58;Coigue;12;970;0.19;0.67;735564;5481555
3;6;22;SC;5.5;48.87;1039.4;54;Coigue;12;972;0.19;0.36;735555;5481558
3;6;23;SN;3.73;44.005;905.4;26;;12;971;0.19;0.09;735569;5481543
3;6;24;LG;5.03;54.07;905.4;50;;12;971;0.19;0.09;735569;5481543
3;7;25;H;5.78;38.67;905.4;37;Lenga ;12;995;0.21;0.51;735556;5481516
3;7;26;SC;5.54;42.14;1683.6;30;Lenga ;12;979;0.21;0.71;735551;5481520
3;7;27;SN;5.21;42.84;564.3;33;;12;980;0.21;0;735545;5481537
3;7;28;LG;5.09;49.07;704.9;50;;12;980;0.21;0;735545;5481537
4;8;29;H;4.44;12.185;905.4;39;Arrallan;25;525;0.17;0.03;727242;5486833
4;8;30;SC;4.67;10.815;905.4;24;Arrallan;25;524;0.17;0.05;727261;5486824
4;8;31;SN;3.89;11.845;704.9;21;;25;524;0.17;0.01;727261;5486824
4;8;32;LG;5.05;11.9;1683.6;50;;25;524;0.17;0.19;727261;5486824
